fullitemname,roomid,area,locids,plmtypeid,plmparamhi,plmparamlo,hiddenness,xy,plmtypename,state,roomname,alternateroomid,alternateroomlocids,alternateroomdifferenthiddenness,zone
Drew Shield Super,0,0,0x1c423d,0,0,0,open,0,0,0,Drew Shield Super,0,0,,zone-2
Missing Trio Super,0,0,0x1c43f9,0,0,0,open,0,0,0,Missing Trio Super,0,0,,zone-2
Blocus Super,0,0,0x1c0c4c,0,0,0,open,0,0,0,Blocus Super,0,0,,zone-3
Bridge of Faith Power Bomb,0,0,0x1c0ce0,0,0,0,open,0,0,0,Bridge of Faith Power Bomb,0,0,,zone-3
Bridge of Faith Super Missile,0,0,0x1c0cda,0,0,0,open,0,0,0,Bridge of Faith Super Missile,0,0,,zone-3
The Meeting Room Missile,0,0,0x1c442b,0,0,0,open,0,0,0,The Meeting Room Missile,0,0x1c0d80,,zone-3
West Shaft Missile,0,0,0x1c15ce,0,0,0,open,0,0,0,West Shaft Missile,0,0,,zone-3
West Shaft Reserve,0,0,0x1c15d4,0,0,0,open,0,0,0,West Shaft Reserve,0,0,,zone-3
Roundabout Missile,0,0,0x1c45d3,0,0,0,open,0,0,0,Roundabout Missile,0,0,,zone-3
Oums Lovin Super,0,0,0x1c09f4,0,0,0,open,0,0,0,Oums Lovin Super,0,0,,zone-3
Oums Lovin Power Bomb,0,0,0x1c09fa,0,0,0,open,0,0,0,Oums Lovin Power Bomb,0,0,,zone-3
Roomception Power Bomb,0,0,0x1c4703,0,0,0,open,0,0,0,Roomception Power Bomb,0,0x1c150c,,zone-3
Wave Beam,0,0,0x1c152c,0,0,0,open,0,0,0,Wave Beam,0,0,,zone-3
Dman Playground Missile,0,0,0x1c475d,0,0,0,open,0,0,0,Dman Playground Missile,0,0,,zone-3
Abyss Main Energy,0,0,0x1c1e14,0,0,0,open,0,0,0,Abyss Main Energy,0,0,,zone-3
Abyss Main Spark Upgrade,0,0,0x1c1e1a,0,0,0,open,0,0,0,Abyss Main Spark Upgrade,0,0,,zone-3
Pushy Blocks Weapon Upgrade,0,0,0x1c4611,0,0,0,open,0,0,0,Pushy Blocks Weapon Upgrade,0,0,,zone-3
Airborne Terror Missile,0,0,0x1c1552,0,0,0,open,0,0,0,Airborne Terror Missile,0,0,,zone-3
Freebie Power Bomb,0,0,0x1c1d4e,0,0,0,open,0,0,0,Freebie Power Bomb,0,0,,zone-3
Forgotten Room Reserve,0,0,0x1c148c,0,0,0,open,0,0,0,Forgotten Room Reserve,0,0,,zone-3
Forgotten Room Missile,0,0,0x1c1498,0,0,0,open,0,0,0,Forgotten Room Missile,0,0,,zone-3
Ice Beam,0,0,0x1c4215,0,0,0,open,0,0,0,Ice Beam,0,0,,zone-3
Space Jump,0,0,0x1c1790,0,0,0,open,0,0,0,Space Jump,0,0,,zone-3
Tower of Doom Power Bomb,0,0,0x1c1796,0,0,0,open,0,0,0,Tower of Doom Power Bomb,0,0,,zone-3
Above is Easier Reserve,0,0,0x1c4337,0,0,0,open,0,0,0,Above is Easier Reserve,0,0,,zone-3
Dual Traverses Missile,0,0,0x1c44f5,0,0,0,open,0,0,0,Dual Traverses Missile,0,0,,zone-3
Best Beam Hard Energy,0,0,0x1c4889,0,0,0,open,0,0,0,Best Beam Hard Energy,0,0,,zone-3
No Dmg Accepted Power Bomb,0,0,0x1c1a34,0,0,0,open,0,0,0,No Dmg Accepted Power Bomb,0,0,,zone-3
Pbs Limited Radius Weapon Upgrade,0,0,0x1c0250,0,0,0,open,0,0,0,Pbs Limited Radius Weapon Upgrade,0,0,,zone-3
Another Use Missile,0,0,0x1c145a,0,0,0,open,0,0,0,Another Use Missile,0,0,,zone-3
Gravity Suit,0,0,0x1c1422,0,0,0,open,0,0,0,Gravity Suit,0,0,,zone-3
Water Logged Energy,0,0,0x1c1410,0,0,0,open,0,0,0,Water Logged Energy,0,0,,zone-3
HP Killer Energy,0,0,0x1c46e5,0,0,0,open,0,0,0,HP Killer Energy,0,0,,zone-3
Mind Puzzled Spark Upgrade,0,0,0x1c1776,0,0,0,open,0,0,0,Mind Puzzled Spark Upgrade,0,0,,zone-3
Mind Puzzled Weapon Upgrade,0,0,0x1c1764,0,0,0,open,0,0,0,Mind Puzzled Weapon Upgrade,0,0,,zone-3
Screw Attack,0,0,0x1c167a,0,0,0,open,0,0,0,Screw Attack,0,0x1c1c36,,zone-3
Mixed Dangers Power Bomb,0,0,0x1c1698,0,0,0,open,0,0,0,Mixed Dangers Power Bomb,0,0x1c1c54,,zone-3
